Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,female?,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming
Tom van den Berg,tom-van-den-berg,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf6a4cbb039d,Wed Mar 13 2019 09:19:00 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:25:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:25:24 GMT+0000 (Coordinated Universal Time),,,Online Dialogue,https://onlinedialogue.nl,Conversion manager,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8649d0a8abf6cbac46c_5f69fbc97103471c5a1391bd_tomvdberg_66fc2839a60ec81c47be616723a3af5d.jpeg,,https://twitter.com/TomvdBerg1,https://www.linkedin.com/in/vandenbergtom,
Amber Taal,amber-taal,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfaef4bb03ab,Sat Apr 06 2019 11:19:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:25:19 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:25:19 GMT+0000 (Coordinated Universal Time),true,,Riksja Travel,https://www.riksjatravel.nl,UX/CRO specialist,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf85f7712d462d6b35846_5ca88b563d556519ec533e9b_amber-groot.jpeg,http://www.ambert.nl/,https://twitter.com/ambert87?lang=en,https://nl.linkedin.com/in/ambertaal,
Hazjier Pourkhalkhali,hazjier-pourkhalkhali,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfcd6abb03af,Sun Apr 14 2019 15:29:55 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:25:08 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:25:08 GMT+0000 (Coordinated Universal Time),,,Optimizely,https://www.optimizely.com/,"Global Lead, Optimization Strategy",https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf854bb13e3e1b133e0ea_Hazjier-Pourkhalkhali.png,,https://twitter.com/hazjier,https://nl.linkedin.com/in/hpourkhalkhali,
Karl Gilis,karl-gilis,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bfb6a2bb0479,Sun Apr 14 2019 15:34:25 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:25:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:25:02 GMT+0000 (Coordinated Universal Time),,true,AGConsult,https://www.agconsult.com/nl/,The 'G' of AGconsult,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf84eb6576a98e55b9f79_5f68ce6ac22e811c72b66ba6_kalrgillis-min.jpeg,,https://twitter.com/agconsult,https://be.linkedin.com/in/webusability,
Jurrien Schouten,jurrien-schouten,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf58f9bb047c,Sun Apr 14 2019 15:36:19 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:57 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:57 GMT+0000 (Coordinated Universal Time),,,fonQ,https://www.fonq.nl/,Lead UX/CRO,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8493a5f088c88ad45b7_5cb3536e37cbae6e6b086024_jurrien.jpeg,,https://twitter.com/jurascho,https://nl.linkedin.com/in/jurrienschouten,false
Melle Moorman,melle-moorman,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf5c73bb03b0,Sun Apr 14 2019 15:39:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:52 GMT+0000 (Coordinated Universal Time),,false,Bol.com,https://www.bol.com,Sr. Product manager mobile,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf844f909c780504a159d_melle.jpeg,,https://twitter.com/mellemoorman,https://nl.linkedin.com/in/mellemoorman,
Rogier Peters,rogier-peters,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf4926bb0473,Sun Apr 14 2019 15:42:09 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:46 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:46 GMT+0000 (Coordinated Universal Time),,,Nyenrode Business Universiteit,https://www.nyenrode.nl/,Senior Online Marketing Manager,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf83e8bea55ef3a920ff6_5cb3546437cbaec2e50861ea_Rogier-Peters.jpeg,,https://twitter.com/petersrogier,https://nl.linkedin.com/in/rogierpaulpeters,
Lonneke Spinhof,lonneke-spinhof,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf651fbb047d,Sun Apr 14 2019 15:44:45 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:40 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:40 GMT+0000 (Coordinated Universal Time),true,,Humix,https://www.humix.be/,Managing Partner & Senior Consultant,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf838ab967a71840262e0_5cb3554c46fa44d4e3c0f209_lonnekespinhof.jpeg,,https://twitter.com/LonnekeSpinhof,https://be.linkedin.com/in/lonnekespinhof,
Bart van der Meer,bart-van-der-meer,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf1ef7bb03b3,Sun Apr 14 2019 15:49:20 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:35 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:35 GMT+0000 (Coordinated Universal Time),,,Klik Process,https://klikproces.nl/,Owner,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8332882a36fce392d10_5cb3565537cbae1de50868fd_bartvdmeer.jpeg,,,https://nl.linkedin.com/in/bart-van-der-meer-6b561918,false
Michiel Jansen,michiel-jansen,5ff1e0549f67bfbc76bb0281,5ff1e0549f67bf37e8bb03b2,Sun Apr 14 2019 15:52:27 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:31 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:24:31 GMT+0000 (Coordinated Universal Time),,,Leaseplan,https://www.leaseplan.com,Global CRO Lead,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf82f1a646b9222d104aa_5cb357204e458435cf072bde_michieljansen.jpeg,,https://twitter.com/michielleendert,https://nl.linkedin.com/in/mljansen,
