Title,Description,Date,Duration,Audio URL,YouTube URL
"Datahive 360: Nieuwe ETL tool geïmplementeerd bij Landal Greenparks, met Michel van Luijtelaar (Up Analytics), Tije Vlam (Trafficbuilders) en Mark Tijssen (Landal Greenparks)","
        <p>Guest 1: Tije Vlam URL: https://nl.cro.cafe/gast/tije-vlam | Guest 2: Michel van Luijtelaar URL: https://nl.cro.cafe/gast/michel-van-luijtelaar | Guest 3: Mark Tijssen URL: https://nl.cro.cafe/gast/mark-tijssen </p>
      ","Fri, 28 Feb 2020 00:00:00 +0100","1987","https://media.transistor.fm/7dd9dd4e/cdcb9e28.mp3",""
"Meer ITP en serverside testing, met Ewrin Kerk (Sitespect), Twan Lammers (OrangeValley) en Martijn Drijver (Fosby Digital Agency)","
        <p>Guest 1: Erwin Kerk URL: https://nl.cro.cafe/gast/erwin-kerk | Guest 2: Twan Lammers URL: https://nl.cro.cafe/gast/twan-lammers | Guest 3: Martijn Drijver URL: https://nl.cro.cafe/gast/martijn-drijver </p>
      ","Wed, 26 Feb 2020 00:00:00 +0100","1044","https://media.transistor.fm/3e9f4066/795ab432.mp3",""
"Samenwerking tussen analytics en CRO, met Jan Brooijmans","
        <p>Guest: Jan Brooijmans URL: https://nl.cro.cafe/gast/jan-brooijmans </p>
      ","Mon, 24 Feb 2020 00:00:00 +0100","3341","https://media.transistor.fm/1b011a2e/faf2be98.mp3",""
"Optimaliseren en automatiseren van je analyses, met Annemarie Klaassen (VodafoneZiggo), Reinier Koolmees & Hans Nauta (Online Dialogue)","
        <p>Guest 1: Annemarie Klaassen URL: https://nl.cro.cafe/gast/annemarie-klaassen | Guest 2: Reinier Koolmees URL: https://nl.cro.cafe/gast/reinier-koolmees | Guest 3: Hans Nauta URL: https://nl.cro.cafe/gast/hans-nauta </p>
      ","Fri, 21 Feb 2020 07:55:00 +0100","1949","https://media.transistor.fm/afeef27a/f9149ab3.mp3",""
"Optimalisatie van een filesharing service, met Hélène van den Dries (WeTransfer)","
        <p>Guest: Hélène van den Dries URL: https://nl.cro.cafe/gast/helene-van-den-dries </p>
      ","Mon, 17 Feb 2020 15:00:00 +0100","1765","https://media.transistor.fm/d5be6cd4/7687fb6e.mp3",""
"Marktonderzoek @ #MIE20, met Edgar de Beule & Joost Schellekens (Markteffect)","
        <p>Guest 1: Joris Schellekens URL: https://nl.cro.cafe/gast/joris-schellekens | Guest 2: Edgar de Beule URL: https://nl.cro.cafe/gast/edgar-de-beule </p>
      ","Wed, 12 Feb 2020 10:30:00 +0100","1406","https://media.transistor.fm/049e6b83/cc32310d.mp3",""
"Optimalisatie van video-on-demand, met Lucas Vos (Videoland)","
        <p>Guest: Lucas Vos URL: https://nl.cro.cafe/gast/lucas-vos </p>
      ","Mon, 10 Feb 2020 00:00:00 +0100","3484","https://media.transistor.fm/1f06801f/6a3acdc1.mp3",""
"Hoe leer je iemand om te programmeren, met Felienne Hermans","
        <p>Guest: Felienne Hermans URL: https://nl.cro.cafe/gast/felienne-hermans </p>
      ","Fri, 07 Feb 2020 12:00:00 +0100","1923","https://media.transistor.fm/3aed45d8/970d301f.mp3",""
"Van data naar psychologsche inzichten, met Anoek Erens & Roos van Dam (Online Dialogue)","
        <p>Guest 1: Anouk Erens URL: https://nl.cro.cafe/gast/anouk-erens | Guest 2: Roos van Dam URL: https://nl.cro.cafe/gast/roos-van-dam </p>
      ","Mon, 03 Feb 2020 06:00:00 +0100","2208","https://media.transistor.fm/7329e161/bfa2cc91.mp3",""
"CRO Methodologie en het onboarden van nieuwe CRO klanten, met Timo Stegeman (ClickValue)","
        


Guest: Timo Stegeman
URL: https://nl.cro.cafe/gast/timo-stegeman

      ","Mon, 20 Jan 2020 14:00:00 +0100","4223","https://media.transistor.fm/aed402aa/a411dede.mp3",""
"Verse optimalisatie cases met de #1 docent van Beeckestijn: Pieter Jan Troost","
        


Guest: Pieter Jan Troost
URL: https://nl.cro.cafe/gast/pieter-jan-troost

      ","Mon, 13 Jan 2020 08:00:00 +0100","2143","https://media.transistor.fm/9e4ea736/d13c11a2.mp3",""
"ACM komt met leidraad bescherming online consument, met Bart Schutz (Online Dialogue)","
        <p>Guest: Bart Schutz | URL: https://nl.cro.cafe/gast/bart-schutz </p>
      ","Mon, 06 Jan 2020 00:00:00 +0100","3761","https://media.transistor.fm/44ce774d/0030d4ee.mp3",""
"CRO.CAFE: Nabeschouwing 2019 & voorbeschouwing 2020","
        Ik deed vanavond een livestream experiment op LinkedIn met als topic CRO.CAFE nabeschouwing 2019 en voorbeschouwing van 2020. Bekijk 'm via de link in de shownotes of beluister 'm direct hier!
      ","Thu, 02 Jan 2020 21:00:00 +0100","907","https://media.transistor.fm/b725f84d/254f6044.mp3",""
"Guido's rant over persoonlijkheidstesten","
        <p>Het <strong>Digital Analytics Congres</strong> 2019 vond plaats op 8 oktober 2019 in de Jaarbeurs in Utrecht en wij deden live verslag vanaf de conferentie. Meer over het congres kun je vinden op <a href=""https://www.digitalanalyticscongres.nl/"">https://www.digitalanalyticscongres.nl/</a>.DAC19 werd georganiseerd door het Expertise Center voor Marketing Insights, Onderzoek en Analytics beter bekend als <strong>MOA</strong>. Meer daarover kun je terugvinden op <a href=""https://www.moaweb.nl/"">https://www.moaweb.nl/</a>. Guest: Bart van der Meer URL: https://nl.cro.cafe/gast/bart-van-der-meer </p>
      ","Mon, 04 Nov 2019 16:20:00 +0100","925","https://media.transistor.fm/640d7957/79d325dd.mp3",""
"Optimaliseer je optimalisatieprogramma!","
        <p>Annemaries sessie bij #DAC19: <strong>Optimaliseer je optimalisatieprogramma! - </strong>Ben jij al aan het A/B-testen en behaal je daarmee veel successen? Maar heb je het gevoel dat je niet alle cijfers of uitkomsten kunt vertrouwen? Of vind je juist veel te weinig winnaars? In beide gevallen moet je kritisch kijken naar de kwaliteit van jouw uitgevoerde experimenten. In deze sessie deelt Annemarie aan de hand van concrete voorbeelden, cases en tips hoe je de validiteit van je A/B-testen kunt waarborgen en checken voor een succesvoller CRO programma.</p><p>Het <strong>Digital Analytics Congres</strong> 2019 vond plaats op 8 oktober 2019 in de Jaarbeurs in Utrecht en wij deden live verslag vanaf de conferentie. Meer over het congres kun je vinden op <a href=""https://www.digitalanalyticscongres.nl/"">https://www.digitalanalyticscongres.nl/</a>.DAC19 werd georganiseerd door het Expertise Center voor Marketing Insights, Onderzoek en Analytics beter bekend als <strong>MOA</strong>. Meer daarover kun je terugvinden op <a href=""https://www.moaweb.nl/"">https://www.moaweb.nl/</a>.</p><p>Guest 1: Annemarie Klaassen URL: https://nl.cro.cafe/gast/annemarie-klaassen | Guest 2: Helene Hallebeek URL: https://nl.cro.cafe/gast/helene-hallebeek </p>
      ","Mon, 04 Nov 2019 16:10:00 +0100","1702","https://media.transistor.fm/981c9ba9/82261d14.mp3",""
"Luister naar je klanten: weet je eigenlijk wel wat ze nodig hebben?","
        <p>Mariekes sessie tijdens #DAC19: <strong>Listening to your customers: do you know what they really need? - </strong>In today’s rapidly changing society, it’s crucial to stay up to date on your customers’ needs. When you tailor new products to (predicted) trends instead of measuring customer satisfaction in hindsight, you’re always one step ahead. In this session, we’ll dive into social listening, a method for analyzing your customers’ needs, and see how our non-profit client RNW Media used it to support the advocacy work of other Sexual and Reproductive Health and Rights organizations.</p><p>Het <strong>Digital Analytics Congres</strong> 2019 vond plaats op 8 oktober 2019 in de Jaarbeurs in Utrecht en wij deden live verslag vanaf de conferentie. Meer over het congres kun je vinden op <a href=""https://www.digitalanalyticscongres.nl/"">https://www.digitalanalyticscongres.nl/</a>.DAC19 werd georganiseerd door het Expertise Center voor Marketing Insights, Onderzoek en Analytics beter bekend als <strong>MOA</strong>. Meer daarover kun je terugvinden op <a href=""https://www.moaweb.nl/"">https://www.moaweb.nl/</a>.</p><p>Guest: Marieke Schulte URL: https://nl.cro.cafe/gast/marieke-schulte </p>
      ","Mon, 04 Nov 2019 16:05:00 +0100","1861","https://media.transistor.fm/d49da350/c1145a82.mp3",""
"Live @ Dutch CRO Awards: Henk-Jan Journée (Fibéo)","
        <p>PS: in aflevering 22 spraken we al uitgebreid met Henk-Jan over het doen van gebruikersonderzoek, deze aflevering kun je hier terugvinden: https://www.cro.cafe/podcast/gebruikersonderzoek-met-fibeo Bekijk de website van het event: https://dutchcroawards.nl/</p><p>Guest: Henk-Jan Journée URL: https://nl.cro.cafe/gast/henk-jan-journee</p>
      ","Wed, 09 Oct 2019 22:45:00 +0200","447","https://media.transistor.fm/c8d54301/aa68e3c5.mp3",""
"Gebruikersonderzoek met Fibéo, met Henk-Jan Journée","
        <p>Guest: Henk-Jan Journée URL: https://nl.cro.cafe/gast/henk-jan-journee </p>
      ","Mon, 15 Jul 2019 16:20:00 +0200","2379","https://media.transistor.fm/36f7765c/21596a25.mp3",""
"Het leven is één groot experiment!, met Tim Zuidgeest (Unravel)","
        <p>Guest: Tim Zuidgeest URL: https://nl.cro.cafe/gast/tim-zuidgeest </p>
      ","Mon, 03 Jun 2019 01:00:00 +0200","3519","https://media.transistor.fm/ad420e3b/a10879d1.mp3",""
"Hip neuro-onderzoek levert géén unieke inzichten op in het onbewuste, met Joris Groen (Buyerminds)","
        <p>Guest: Joris Groen URL: https://nl.cro.cafe/gast/joris-groen </p>
      ","Mon, 01 Apr 2019 00:39:00 +0200","2577","https://media.transistor.fm/8edd3089/af291eae.mp3",""
"Play the game: Digital Marketing Pinball, met Daniël Markus (ClickValue)","
        <p>Guest: Daniël Markus URL: https://nl.cro.cafe/gast/daniel-markus </p>
      ","Thu, 28 Feb 2019 08:18:00 +0100","2860","https://media.transistor.fm/bb151115/15e5b651.mp3",""
