Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Rank,Icon B/W,Icon color,URL
Podcast Addict,podcast-addict,5faaf2006f511c10ef933cca,5faaf2006f511c6e3e933ef3,Tue Oct 08 2019 21:08:21 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:13 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:13 GMT+0000 (Coordinated Universal Time),7,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf187a66f39c381ad3e4a_5d9cfb09cf685a9e2b9ac99b_Podcast-Addict_4ce72e33e38e192d2e03f7bf654d7550.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf18d90b0b3d1f097981f_pa-icon.png,https://podcastaddict.com/podcast/3180539
Youtube,youtube,5faaf2006f511c10ef933cca,5faaf2006f511c618693406a,Sun Oct 11 2020 20:25:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:56:02 GMT+0000 (Coordinated Universal Time),3,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf17d06f636003026f0e8_1200px-YouTube_light_icon_(2017).png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf18280d0b61f941a122d_YouTube-iconpng.png,https://www.youtube.com/channel/UCN7W3kbJ62V39mTRhRYFMnw
Player.fm,player-fm,5faaf2006f511c10ef933cca,5faaf2006f511ca0bf93406b,Mon Oct 12 2020 18:26:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:51 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:51 GMT+0000 (Coordinated Universal Time),15,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf171333c5980e6a8972c_playerfmlogo.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1779d4da5c991cb17d9_playerfmlogo-color.png,https://player.fm/series/series-2836550
Podbean,podbean,5faaf2006f511c10ef933cca,5faaf2006f511cf78193406c,Mon Oct 12 2020 19:33:48 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:40 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:40 GMT+0000 (Coordinated Universal Time),11,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1661d3fb41e939c9164_podbean-logo.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf16cffb518486969f97c_podbean-icon.png,https://www.podbean.com/podcast-detail/jei9i-17d387/CRO.CAFE-Español-Podcast
Castro,castro,5faaf2006f511c10ef933cca,5faaf2006f511caa9093406d,Mon Oct 12 2020 19:56:44 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:28 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:28 GMT+0000 (Coordinated Universal Time),12,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf15b80d0b6419519f27c_castro-logo.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf16080e381ea5a041028_castro-icon.png,https://castro.fm/podcast/36083955-cd12-4918-9652-8dceef8879d2
Listen Notes,listen-notes,5faaf2006f511c10ef933cca,5faaf2006f511c833b934084,Fri Oct 30 2020 11:17:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:17 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:17 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf14f33bbb6f1988ab013_ln-bw.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf155333c59757ea87465_ln.png,https://lnns.co/RSqdGO9U0Qk
Podcast Index,podcast-index,5faaf2006f511c10ef933cca,5faaf2006f511c228f934086,Fri Oct 30 2020 11:27:45 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:06 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:55:06 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf14529b39a586d444e42_index-bw.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf14a80e381093703f547_index-color.png,https://podcastindex.org/podcast/1334647
Deezer,deezer,5faaf2006f511c10ef933cca,5faaf2006f511c44c4934087,Fri Oct 30 2020 11:33:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:56 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:56 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf13bb4e773e6a96ca48f_deezer-bw.png,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1403af82b1b62ac9cbb_deezer.png,https://deezer.com/show/2059912
Amazon Music,amazon-music,5faaf2006f511c10ef933cca,5faaf2006f511c3c0b934088,Fri Oct 30 2020 11:42:36 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:46 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:46 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf136d309241f08ac597b_amazon.png,https://www.audible.com/pd/CROCAFE-Espanol-Podcast/B08JJMGJCS
iHeartRadio,iheartradio,5faaf2006f511c10ef933cca,5faaf2006f511c6ea493408a,Fri Oct 30 2020 11:50:21 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:41 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:41 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf131af3e849dc6aba78b_5fbd0970d3a6203673873bc0_iheart-radio.png,https://www.iheart.com/podcast/269-CROCAFE-Español-75165604
PodcastRepublic,podcast-republic,5faaf2006f511c10ef933cca,5fe7a3b13076bc62bbaebf9d,Sat Dec 26 2020 20:57:21 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:36 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:36 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf12c21caad02bc1377db_podcastrepublic.png,https://www.podcastrepublic.net/podcast/1543792857
ivoox,ivoox,5faaf2006f511c10ef933cca,5ff73572a5f8de1375b327b3,Thu Jan 07 2021 16:23:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:31 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:54:31 GMT+0000 (Coordinated Universal Time),6,,https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1272d639665cf8e804e_61-Ll8XnfbL.png,https://es.ivoox.com/es/podcast-cro-cafe-espanol_sq_f11151479_1.html
