Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,female?,Type,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming,Book recommendations
Dumky de Wilde,dumky-de-wilde,5f762516f490f5eca3d63977,5f762516f490f50162d63c92,Mon Sep 21 2020 20:21:55 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:32:11 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:32:11 GMT+0000 (Coordinated Universal Time),,podcast-guest,,Dept Agency,https://www.deptagency.com,Senior Technical Analyst,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9fbae9e4c19e6645235_dumky.jpeg,https://www.dumkydewilde.nl/,,https://www.linkedin.com/in/dumkydewilde/,false,
Brian Cugelman,brian-cugelman,5f762516f490f5eca3d63977,5f762516f490f5769ad63c95,Mon Sep 21 2020 20:41:34 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:55 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:55 GMT+0000 (Coordinated Universal Time),,podcast-guest,,AlterSpark,https://www.alterspark.com/,"Lecturer, Senior Behavioral Scientist",https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9eb2c8e1218402a7b17_alterspark_brian-cugelman.jpeg,https://cugelman.com/,https://twitter.com/cugelman,https://www.linkedin.com/in/cugelman/,false,
Casandra Campbell,casandra-campbell,5f762516f490f5eca3d63977,5f762516f490f5761ed63c96,Mon Sep 21 2020 20:44:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:50 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:50 GMT+0000 (Coordinated Universal Time),true,podcast-guest,false,Shopify,https://www.shopify.com/,Testing and Experimentation Lead,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9e69d0a8a330abb9304_cassandracampbell.jpeg,http://casandracampbell.com/,https://twitter.com/Casandra_Camp,https://www.linkedin.com/in/casandracampbell/,false,
Jonny Longden,jonny-longden,5f762516f490f5eca3d63977,5f762516f490f54023d63c98,Mon Sep 21 2020 21:02:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:38 GMT+0000 (Coordinated Universal Time),,podcast-guest,,Journey Further ,https://www.journeyfurther.com/,Co-Founder & Conversion Director,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9da3a5f08ce69ae26f8_johnny.jpeg,https://medium.com/@jonathan.longden,https://twitter.com/jonnylongden,https://www.linkedin.com/in/jonnylongden/,false,
Dave Powell,dave-powell,5f762516f490f5eca3d63977,5f762516f490f55ee0d63c9c,Thu Sep 24 2020 15:09:51 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:22 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:22 GMT+0000 (Coordinated Universal Time),,podcast-guest,,TomTom,https://www.tomtom.com,E-commerce Conversion Manager,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9cabe4a5ff22216d921_index.jpeg,,,https://www.linkedin.com/in/magicslipper/,false,
Craig Sullivan,craig-sullivan,5f762516f490f5eca3d63977,5f762516f490f5cd0dd63cb2,Tue Sep 29 2020 09:01:27 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:16 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:16 GMT+0000 (Coordinated Universal Time),,podcast-guest,true,Optimal Visit,,Optimiser in Chief,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9c333bbb6011c935275_craig.jpeg,,https://twitter.com/OptimiseOrDie,https://www.linkedin.com/in/craigsullivan/,,
Fabian Kersten,fabian-kersten,5f762516f490f5eca3d63977,5f762516f490f5721dd63cb7,Thu Oct 01 2020 15:58:50 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:07 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:07 GMT+0000 (Coordinated Universal Time),,podcast-guest,,Leaseplan,https://www.leaseplan.com/,"Director Digital Marketing, Sales & Service",https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9bb06f6360ef92f4785_fabian.jpeg,,,https://www.linkedin.com/in/fabiankersten/,,
Bas van Dijk,bas-van-dijk,5f762516f490f5eca3d63977,5f762516f490f52d7ad63cb8,Thu Oct 01 2020 15:59:26 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:31:02 GMT+0000 (Coordinated Universal Time),,podcast-guest,,Bol.com,https://www.bol.com,Customer Journey Excellence Specialist,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9b6991ee1e7ad702f8a_bas.jpeg,,,https://www.linkedin.com/in/basvandijk2/,,
Sumantha Shankaranarayana,sumantha-shankaranarayana,5f762516f490f5eca3d63977,5f856184a048923b0f8ecd28,Tue Oct 13 2020 08:12:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:58 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:58 GMT+0000 (Coordinated Universal Time),,podcast-guest,,Kaspersky,https://www.kaspersky.com/,Senior Conversion Rate Optimization Manager,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9b11d3fb48275a02804_sumantha.jpeg,,https://twitter.com/sunsumantha,https://www.linkedin.com/in/sumantha-s/,false,
Eltine van der Veer,eltine-van-der-veer,5f762516f490f5eca3d63977,5f884d93b4fc0b42ddac337d,Thu Oct 15 2020 13:24:35 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:43 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:43 GMT+0000 (Coordinated Universal Time),true,podcast-guest,,Braingineers,https://braingineers.com/,Head of Experience & Insights,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf9a38bea5533fa9270e4_eltine.jpeg,https://www.eltine.com/,https://twitter.com/eltinevdveer,https://www.linkedin.com/in/eltinevanderveer/,false,
Derek Gleason,derek-gleason,5f762516f490f5eca3d63977,5f884edae9513c44acd5405f,Thu Oct 15 2020 13:30:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:33 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:33 GMT+0000 (Coordinated Universal Time),,podcast-guest,,CXL,https://cxl.com/,Content Lead,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf99995f30475b41e774d_derek.jpeg,,https://twitter.com/derek_gleason,https://www.linkedin.com/in/derek-m-gleason/,false,
Chad Sanderson,chad-sanderson,5f762516f490f5eca3d63977,5f95e3411d40a22a988bb44c,Sun Oct 25 2020 20:42:41 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:29 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:29 GMT+0000 (Coordinated Universal Time),,podcast-guest,,Convoy,https://convoy.com/,"Head of Product, Data Platform",https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf995991ee140727017d3_chads.jpeg,,https://twitter.com/chadjsanderson,https://www.linkedin.com/in/chad-sanderson-experimentation/,false,
Merritt Aho,merritt-aho,5f762516f490f5eca3d63977,5fa298c54e6c7985bc5af7f6,Wed Nov 04 2020 12:04:21 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:24 GMT+0000 (Coordinated Universal Time),,podcast-guest,,Search Discovery,https://www.searchdiscovery.com/,Optimization Director,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf98f3571926aa269e128_merrit.jpeg,,https://twitter.com/alphanumerritt,https://www.linkedin.com/in/merrittaho/,false,
Byron Sharp,byron-sharp,5f762516f490f5eca3d63977,5fb1ab8a4186207baeaf4811,Sun Nov 15 2020 22:28:26 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:13 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:13 GMT+0000 (Coordinated Universal Time),,book-author,,University of South Australia,,Professor of Marketing Science & Director,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf985b36c35d73d550877_byron-sharp.jpeg,,https://twitter.com/ProfByron,,,
Youngme Moon,youngme-moon,5f762516f490f5eca3d63977,5fb1ac4eda134d30dc720710,Sun Nov 15 2020 22:31:42 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:08 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:08 GMT+0000 (Coordinated Universal Time),,book-author,,Harvard Business School,,Professor,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf97feca8664d27544188_youngme-moon.jpeg,,https://twitter.com/youngmemoon,,,
Jack Trout,jack-trout,5f762516f490f5eca3d63977,5fb1ad6cc94757f521b56fad,Sun Nov 15 2020 22:36:28 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:30:02 GMT+0000 (Coordinated Universal Time),,book-author,,Trout & Partners,,Owner,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bf97a9df94212781cb159_jack-trout.jpeg,,,,,
