Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Profile picture,Quote rich,LinkedIn URL,Twitter URL,Job title + Company name,Type,Referenced episodes
Álvaro Sendagorta von Oppenheim,alvaro-sendagorta-von-oppenheim,62446457cab48bb0392519f8,62446457cab48be3cb251d10,Mon Sep 28 2020 10:49:59 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:02:09 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:10:51 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b27c1252360_alvaro.jpeg,"<p>I listen to you every week on the CRO.CAFE podcast, keep up the good work, it's great!!</p>",https://www.linkedin.com/in/%C3%A1lvaro-sendagorta-von-oppenheim-607424137/,,Experience Design & Optimization at Accenture Interactive,Listener,
Elise Maile,elise-maile,62446457cab48bb0392519f8,62446457cab48ba61b251c93,Thu Jun 04 2020 12:38:23 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:02:12 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:10:51 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b0abb25225f_5ed8eaf672d32108a833f00e_elisemaile.jpeg,"<p>This is probably the best analysis of <a href=""https://www.cro.cafe/podcast/centralized-versus-decentralized-cro"">centralised vs decentralised structures in relation to CRO</a> I've ever seen/heard. There is no one-size-fits-all, both structures have their pros &amp; cons.</p>",https://www.linkedin.com/in/elise-maile/,https://twitter.com/e_maile,Freelance UX and Conversion Rate Optimisation Consultant,Listener,centralized-versus-decentralized-cro
Łukasz Twardowski,lukasz-twardowski,62446457cab48bb0392519f8,62446457cab48b1407251d11,Fri Sep 25 2020 08:14:26 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:02:09 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:10:51 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48bcfa1252361_lukasz.jpeg,<p>CRO.CAFE is pure gold</p>,https://pl.linkedin.com/in/twardowski,https://twitter.com/luktwardowski,CEO at UseItBetter,Listener,
Mark Nuiver,mark-nuiver,62446457cab48bb0392519f8,62446457cab48b6a47251d13,Sat Aug 15 2020 21:08:22 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:02:12 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:10:51 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b509d252363_marknuiver.jpeg,"<p>As a relative newbee in the CRO field, the podcast is educational, inspiring and sharpens my vision of my daily work. Thanks for that and I look forward to what is to come!</p>",https://www.linkedin.com/in/marknuiver/,https://twitter.com/marknuiver,CRO/UX specialist at Yonego B.V.,Listener,
Michael McMillan,michael-mcmillan,62446457cab48bb0392519f8,62446457cab48ba4d1251d12,Mon Aug 24 2020 19:58:55 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:02:10 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:10:51 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48bba56252362_michael-mcmillan.jpeg,<p>My team and I have been listening to the podcast and love that we found somebody who talks to a subject near and dear to all our hearts. We have a weekly book club meeting and a monthly growth event. &nbsp;I assign additional training content like the CRO.CAFE podcast out to my org that is discussed as part of those meetings as well.</p>,https://www.linkedin.com/in/michaelcmcmillan,https://twitter.com/mikecmcmillan,Chief Revenue Officer at Aceyus,Listener,
Simbar Dube,simbar-dube,62446457cab48bb0392519f8,62446457cab48b3517251d14,Fri May 22 2020 20:49:52 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:02:13 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:10:51 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b03d9252364_5ec83b2705a9e1b32f0e7f60_simbardube.jpeg,"<p>I enjoy the candid interviews, but my personal fav is the discussion with <a href=""https://www.cro.cafe/podcast/why-cros-should-think-as-a-venture-capitalist"">Sean Sheppard</a>, &amp; <a href=""https://www.cro.cafe/podcast/implementing-behavioral-sciences-in-agile-teams"">Andre Morys</a>. Those are definitely knowledge bombs that changed my perspective in behavioral sciences and how I should think as an Optimizer.‍</p>",https://www.linkedin.com/in/simbar-dube/,https://twitter.com/SimbarDubeZW,Growth Marketing Manager at Invesp ,Listener,why-cros-should-think-as-a-venture-capitalist; implementing-behavioral-sciences-in-agile-teams
Sjoerd Walinga,sjoerd-walinga,62446457cab48bb0392519f8,62446457cab48b79c4251ced,Sun Aug 16 2020 20:52:42 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:02:10 GMT+0000 (Coordinated Universal Time),Tue May 31 2022 08:10:51 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b1c62252320_sjoerd.jpeg,<p>The podcasts are totally worth it if you are interested in CRO and looking for depth and different angles. Pleasant to listen to and valuable to me to listen to.</p>,https://nl.linkedin.com/in/sjoerdwalinga,https://twitter.com/sjoerdwalinga,UX Research strateeg at Concept7,Listener,
