Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Featured on homepage?,Company name,Company URL,Function/Title,Picture,Personal website,Twitter URL,LinkedIn URL,Upcoming
Malte Landwehr ,malte-landwehr,62446457cab48b6e162519fa,63ecfab5fb1dd7491aeed235,Wed Feb 15 2023 15:31:01 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:02:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),true,idealo,https://www.idealo.de/,Head of SEO,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/63ecfa899f24a214eb2afc08_3d9413c7-f366-46dd-a22c-6b59d1aad684.jpg,https://www.maltelandwehr.de/,https://twitter.com/MalteLandwehr?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.linkedin.com/in/landwehr/,false
Michael Pietsch,michael-pietsch,62446457cab48b6e162519fa,646cada151b85ad1021cdb41,Tue May 23 2023 12:12:17 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:01:47 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),true,Meta,,MarTech Ecosystem & Business Development,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/646cad594311daf3c4a9f076_m_pietsch_headshot2.jpg,,,https://www.linkedin.com/in/michael-pietsch-0703ab45/,false
Niklas Lewanczik,niklas-lewanczik,62446457cab48b6e162519fa,64a2e7e3b0fe45c9706e972a,Mon Jul 03 2023 15:23:15 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:01:37 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),false,OnlineMarketing.de,https://onlinemarketing.de/,Redaktionsleiter,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/64a2e7990cb145458924c7a2_Niklas%20Lewanczik%2C%20OnlineMarketing.de.jpg,,,https://www.linkedin.com/in/niklas-lewanczik-517212168/,false
Philipp Spreer,philipp-spreer,62446457cab48b6e162519fa,64ef2c802ee1eeb2a2873a3f,Wed Aug 30 2023 11:48:15 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:01:22 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),true,elaboratum Deutschland,https://www.elaboratum.de/,Managing Partner & Geschäftsführer,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/64ef2c46e22b4b715e7fece9_Hamburg%202021%20(9)-2%20Kopie.jpg,,,https://www.linkedin.com/in/spreer,false
Scott Voigt,scott-voigt,62446457cab48b6e162519fa,6450c05ea32ac01edb546046,Tue May 02 2023 07:48:46 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:01:59 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),false,Fullstory,https://www.fullstory.com/,Founder & CEO,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/6450c02582e4b969bef8106b_Scott_.png,,,https://www.linkedin.com/in/scottmvoigt/,false
Stane Zabot,stane-zabot,62446457cab48b6e162519fa,64b54cbb648f7bff77262a6a,Mon Jul 17 2023 14:14:19 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:01:28 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),true,Douglas,https://www.douglas.de/de,UX Manager A/B-Testing & Personalization,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/64b54c6706e686a419b6fb45_P6RNslc.jpeg,,,https://www.linkedin.com/in/stane-zabot-8aa6a665/,false
Thomas Gruhle,thomas-gruhle,62446457cab48b6e162519fa,62da874b8e088f0ab3015f5e,Fri Jul 22 2022 11:17:31 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:02:49 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),false,LEAP Digital Marketing GmbH,https://leap.de/,CEO,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62da87476c8dcbe1dc8be974_thomas-gruhle_200x200.png,,,https://www.linkedin.com/in/thomas-gruhle-46476245/,false
Thomas Kammerer,thomas-kammerer,62446457cab48b6e162519fa,635fed14b999b139e39556dd,Mon Oct 31 2022 15:43:16 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:14 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),false,Conversion Maker GmbH,http://conversionmaker.ai/,Chief Sales Officer,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/635fed0d25ce1343edb45c02_Thomas%201%20Kopie.png,,,https://www.linkedin.com/in/thomas-kammerer-conversion-maker/,false
Anas Elimani,anas-elimani,62446457cab48b6e162519fa,6581aa41070dcaaa303dcdec,Tue Dec 19 2023 14:35:45 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:00:55 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 10:03:42 GMT+0000 (Coordinated Universal Time),false,Labrigart.Design,https://labrigart.de/,Co-Founder,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/6581aa3580d1299ed9681910_Anas.png,,,https://www.linkedin.com/in/anas-e-40b74520a/,false
Rebecca Hahn,rebecca-hahn,62446457cab48b6e162519fa,653672391122f1d0995cb83c,Mon Oct 23 2023 13:16:41 GMT+0000 (Coordinated Universal Time),Tue Dec 19 2023 14:29:53 GMT+0000 (Coordinated Universal Time),Tue Dec 19 2023 14:35:48 GMT+0000 (Coordinated Universal Time),true,BabyOne,https://www.babyone.de/,UX-Designerin,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/653672070489e7bcb66a88e5_Rebecca_Quadrat.png,,,https://www.linkedin.com/in/rebecca-h/,false
