Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Avatar,Description,LinkedIn,Twitter
Guido X Jansen,guido-x-jansen,62446457cab48bed9c2519fd,62446457cab48b6def251d34,Tue Dec 21 2021 13:55:04 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 21:36:15 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62446457cab48b69bf25195e/62446457cab48b1ff625238f_5f6a59af1724fe6cbee96695_guido-min.png,Guido has a background as Cognitive psychologist and worked as CRO specialist on both the agency and client-side. In 2020 Guido won the individual Experimentation Culture Award.,https://www.linkedin.com/in/gxjansen/,https://twitter.com/guido
Michael Witzenleiter & Yvonne Teufel,michael-witzenleiter-yvonne-teufel,62446457cab48bed9c2519fd,62816977a4a0df7958ac34d1,Sun May 15 2022 20:58:31 GMT+0000 (Coordinated Universal Time),Sun May 15 2022 20:58:31 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 21:18:43 GMT+0000 (Coordinated Universal Time),,,,
