Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Rank,Icon B/W,Icon color,URL
Podcast Addict,podcast-addict,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bfab4fbb04c5,Tue Oct 08 2019 21:08:21 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:23 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:23 GMT+0000 (Coordinated Universal Time),7,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf94e29b39ad4c24e6b97_5d9cfb09cf685a9e2b9ac99b_Podcast-Addict_4ce72e33e38e192d2e03f7bf654d7550.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf952b8af0905d84c97e9_pa-icon.png,https://podcastaddict.com/podcast/3184291
Youtube,youtube,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bfd691bb063c,Sun Oct 11 2020 20:25:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:12 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:29:12 GMT+0000 (Coordinated Universal Time),3,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf93a9df942401d1c8f6a_1200px-YouTube_light_icon_(2017).png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf9469df94238bf1c9339_YouTube-iconpng.png,https://www.youtube.com/channel/UCN7W3kbJ62V39mTRhRYFMnw
Player.fm,player-fm,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf6762bb063d,Mon Oct 12 2020 18:26:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:53 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:53 GMT+0000 (Coordinated Universal Time),15,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf930e7f34e4502c561ce_playerfmlogo.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf93506f6360fa62ec3ef_playerfmlogo-color.png,https://player.fm/series/crocafe-nederlands
Podbean,podbean,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf2f5fbb063e,Mon Oct 12 2020 19:33:48 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:43 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:43 GMT+0000 (Coordinated Universal Time),11,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf925a2eb5562a593e1b1_podbean-logo.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf92a5ba34033f6915929_podbean-icon.png,https://www.podbean.com/podcast-detail/h674z-17fe0e/CRO.CAFE-Nederlands-Podcast
Castro,castro,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf4a68bb063f,Mon Oct 12 2020 19:56:44 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:32 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:32 GMT+0000 (Coordinated Universal Time),12,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf91bb6adc8b2cb8a63e4_castro-logo.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf920cf07a459e8c8b3bc_castro-icon.png,https://castro.fm/itunes/1544626706
Listen Notes,listen-notes,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf1779bb0289,Fri Oct 30 2020 11:17:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:23 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:23 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf912ffb51891356e387d_ln-bw.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf91780e381fd040aecce_ln.png,https://www.listennotes.com/podcasts/crocafe-nederlands-guido-x-jansen-u8g3GcAthMl/
Podcast Index,podcast-index,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf461cbb028a,Fri Oct 30 2020 11:27:45 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:13 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:13 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf9087f3b7824eece8cf9_index-bw.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf90db8af0933e54c583e_index-color.png,https://podcastindex.org/podcast/1335463
Deezer,deezer,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf1960bb028b,Fri Oct 30 2020 11:33:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:04 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:28:04 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8ff33bbb6e8489262d8_deezer-bw.png,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf90429b39a5add4e2524_deezer.png,https://deezer.com/show/2113932
Amazon Music,amazon-music,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bf37f7bb028c,Fri Oct 30 2020 11:42:36 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:52 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8f733bbb6be439259c8_amazon.png,https://www.amazon.com/CRO-CAFE-Nederlands/dp/B08JJT1M1H/ref=sr_1_1
iHeartRadio,iheartradio,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bfc279bb028e,Fri Oct 30 2020 11:50:21 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:39 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:39 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8eb039855aba56a402a_iheart-radio.png,http://www.iheart.com/podcast/269-crocafe-nederlands-76171258
PodcastRepublic,podcast-republic,5ff1e0549f67bf8a49bb0283,5ff1e0549f67bfba0abb036d,Sat Dec 26 2020 20:59:22 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:34 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:34 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8e6ab967a7890030d15_podcastrepublic.png,https://www.podcastrepublic.net/podcast/1544626706
Juke ,juke,5ff1e0549f67bf8a49bb0283,6022f7a20b1e3bc7148b0129,Tue Feb 09 2021 20:59:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:29 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:29 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8e1ab967a8445030acc_juke-logo.png,https://juke.nl/podcasts/cro-cafe-nederlands
RadioGuide.fm,radioguide-fm,5ff1e0549f67bf8a49bb0283,6026a11f8614cc1b323fa334,Fri Feb 12 2021 15:39:11 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:27:24 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5ff1e0549f67bf6660bb01f3/604bf8dbd3fe2a30d0165eb9_radioguide.png,https://www.radioguide.fm/internet-radio-nederland/crocafe-english
