Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Profile picture,Quote rich,LinkedIn URL,Twitter URL,Job title + Company name,Type,Referenced episodes
Simbar Dube,simbar-dube,5faaf2006f511c2d43933ccb,5faaf2006f511cd237933fda,Fri May 22 2020 20:49:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:41 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:41 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf220bbc4046fd846c651_5ec83b2705a9e1b32f0e7f60_simbardube.jpeg,"<p>Disfruto de todas las entrevistas, pero mi favorita es el debate entre <a href=""https://e21451a5-3769-4471-abc1-9d693987ce46.p.markup.io/podcast/why-cros-should-think-as-a-venture-capitalist"" target=""_blank"">Sean Sheppard</a> y <a href=""https://e21451a5-3769-4471-abc1-9d693987ce46.p.markup.io/podcast/implementing-behavioral-sciences-in-agile-teams"" target=""_blank"">Andre Morys</a>. Es una bomba de conocimiento que cambió mi perspectiva sobre las ciencias del comportamiento y como yo debería pensar como optimizador.</p>",https://www.linkedin.com/in/simbar-dube/,,Growth Marketing Manager en Invesp ,Oyente,
Elise Maile,elise-maile,5faaf2006f511c2d43933ccb,5faaf2006f511c76d9934002,Thu Jun 04 2020 12:38:23 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:36 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:36 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf21ceca86679384cafb3_5ed8eaf672d32108a833f00e_elisemaile.jpeg,"<p>Este es probablemente el mejor análisis sobre <a href=""https://e21451a5-3769-4471-abc1-9d693987ce46.p.markup.io/podcast/centralized-versus-decentralized-cro"" target=""_blank"">estructuras centralizadas vs descentralizadas en relación al CRO</a> que he escuchado nunca. No hay un claro ganador, cada estructura tiene sus pros y sus contras.</p>",https://www.linkedin.com/in/elise-maile/,https://twitter.com/e_maile,Freelance UX & Conversion Rate Optimization Consultant,Oyente,
Mark Nuiver,mark-nuiver,5faaf2006f511c2d43933ccb,5faaf2006f511c624093402e,Sat Aug 15 2020 21:08:22 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:30 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:30 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf2169d0a8abdd7b544e4_marknuiver.jpeg,"<p>Como alguien relativamente nuevo en esto del CRO, este podcast me inspira y me aporta una nueva visión en mi trabajo diario, y es muy educativo. Garcias por todo eso y estoy expectante por ver lo que va a venir!</p>",https://www.linkedin.com/in/marknuiver/,https://twitter.com/marknuiver,CRO/UX Specialist en Yonego B.V.,Oyente,
Sjoerd Walinga,sjoerd-walinga,5faaf2006f511c2d43933ccb,5faaf2006f511c680093402f,Sun Aug 16 2020 20:52:42 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:25 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf2117f3b7898a9cb7fe2_sjoerd.jpeg,<p>Estos podcast valen mucho la pena si estás interesado en CRO y buscas profundidad en los temas y visiones diferentes sobre los temas tratados. Es muy entretenido de escuchar y me aporta muchísimo valor.</p>,https://nl.linkedin.com/in/sjoerdwalinga,https://twitter.com/sjoerdwalinga,UX Research Strategist en Concept7,Oyente,
Michael McMillan,michael-mcmillan,5faaf2006f511c2d43933ccb,5faaf2006f511c0020934036,Mon Aug 24 2020 19:58:55 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:19 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:19 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf20adfcca577d84ca089_michael-mcmillan.jpeg,"<p>Mi equipo y yo hemos estado escuchando el podcast y nos encanta encontrar a personas que hablan de cosas que nos gustan y apasionan. Tenemos un club de lectura semanal y un evento mensual sobre growth, y siempre añado contenido del podcast <a href=""http://cro.CAFE"" target=""_blank"">CRO.CAFE</a> como una forma de aprender que nos ayuda a todos.</p>",https://www.linkedin.com/in/michaelcmcmillan,https://twitter.com/mikecmcmillan,Chief Revenue Officer en Aceyus,Oyente,
Łukasz Twardowski,lukasz-twardowski,5faaf2006f511c2d43933ccb,5faaf2006f511c0dd393404f,Fri Sep 25 2020 08:14:26 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:13 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf205ffb5182df56a74c8_lukasz.jpeg,<p>CRO.CAFE es oro puro</p>,,,CEO en UseItBetter,Oyente,
Álvaro Sendagorta von Oppenheim,alvaro-sendagorta-von-oppenheim,5faaf2006f511c2d43933ccb,5faaf2006f511cffe2934058,Mon Sep 28 2020 10:49:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:07 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 22:58:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5faaf2006f511cf514933cbd/604bf1ff2d63969c798f8222_alvaro.jpeg,"<p>Escucho el podcast CRO.CAFE todas las semanas. Seguid con el trabajo que estáis haciendo, es fantástico!</p>",https://www.linkedin.com/in/%C3%A1lvaro-sendagorta-von-oppenheim-607424137/,,Experience Design & Optimization en Accenture Interactive,Oyente,
