Title,Description,Date,Duration,Audio URL,YouTube URL
"Neurotecnología, entender nuestro cerebro para diseñar mejores soluciones, con María López","
        <p>Hoy en día es posible medir lo que pensamos y lo que sentimos gracias al uso de la neurotecnología, que tiene múltiples aplicaciones, desde el uso médico al uso en marketing, a través de lo que llamamos neuromarketing.</p><p>Entender las sensaciones y sentimientos que una situación, interface, producto o servicio nos genera realmente puede ayudarnos enormemente a diseñar mejores productos, servicios, experiencias y en definitiva a mejorar no solo un negocio, sino nuestra propia calidad de vida.</p>
      ","Wed, 15 Jun 2022 00:00:00 +0200","4664","https://media.transistor.fm/e1b77eb2/331af4c6.mp3",""
"Vender servicios digitales para personas mayores, con Jorge Terreu","
        <p>Jorge Terreu es el CEO de Maximiliana, una startup que comercializa un modelo de móvil orientado a personas mayores que no se desenvuelven bien con un smartphone estándar. Lo llamativo de este caso y la razón de que hagamos este episodio es la brillantez en detectar esa necesidad y cómo el producto y servicio han ido cambiando en base al feedback de los clientes para lograr una mayor conversión. Algo que podemos aprender todos para aplicar en nuestros proyectos.</p>
      ","Wed, 08 Jun 2022 00:00:00 +0200","3257","https://media.transistor.fm/1b01f49f/c753de7d.mp3",""
"Innovación, qué es y cómo aplicarla de verdad, con David Alayón","
        <p>Todos oimos hablar constantemente de innovación y de cómo las empresas la utilizan para mejorar procesos y eficiencia... pero, ¿qué es exactamente la innovación?, ¿cómo emplearla en el día a día de una empresa para que se traduzca en mejora real?, ¿es palabrería o realmente una PYME puede innovar?, ¿qué características tiene?</p><p>De todo esto y de mucho más (incluyendo Alan Moore, The Boys y mil cosas más) hablamos David Alayón y yo en este fantabuloso episodio. Dale al play!</p>
      ","Wed, 01 Jun 2022 01:24:18 +0200","4406","https://media.transistor.fm/b9e9e637/eca15e35.mp3",""
"Cómo resolver problemas complejos, con Javier G. Recuenco","
        <p>En este episodio hablamos con Javier G. Recuenco sobre CPS, o Complex Problem Solving, el arte de resolver problemas complejos, que puede ayudarnos, y mucho, en nuestro trabajo de optimización y mejora.</p><p>En esta charla caben Van Halen, el Dr. House, el problema del Sahara, frameworks de resolución de problemas, la asociación MENSA, y un poco de todo, así que si te lo pierdes no sabrás lo que te pierdes, signifique lo que signifique eso.</p>
      ","Wed, 09 Mar 2022 00:00:00 +0100","4270","https://media.transistor.fm/894d9b6d/068360c6.mp3",""
"La diferencia cultural entre Mexico y España y su peso en conversión, con Vanesa Robles","
        <p>Vanesa Robles ha pasado los últimos tres años de su carrera profesional en Mexico, y ha vivido en su propia experiencia la importancia de diseñar mensajes y acciones específicamente pensados para el cliente mexicano, aunque procedas de España y hablemos el mismo lenguaje. De esa fractura cultural y de su importancia para conseguir comunicar con éxito hablamos en este episodio.</p>
      ","Wed, 23 Feb 2022 00:00:00 +0100","4363","https://media.transistor.fm/103b6d3b/0498c2f8.mp3",""
"Accesibilidad, la necesidad de atender a todos tus clientes, con Arantxa Hernández","
        <p>La accesibilidad no es solo construir un diseño digital que sea accesible para cualquier persona, independientemente de sus capacidades o limitaciones. Es también la clave para construir diseños que realmente resulten sencillos, comprensibles y pensados para la práctica totalidad de posibles usuarios, y ello importa, y mucho, en términos de rendimiento, eficiencia y conversión.</p>
      ","Wed, 16 Feb 2022 00:00:00 +0100","3553","https://media.transistor.fm/ab6c8897/153ad01e.mp3",""
"Storytelling y copywriting, el arte en las palabras para llegar y convencer, con Anita Cufari","
        En este episodio charlamos sobre la importancia de la redacción publicitaria y la narrativa como vehículos para informar, explicar y persuadir a nuestros clientes sobre lo que hacemos y porque somos su mejor opción
      ","Wed, 09 Feb 2022 00:00:00 +0100","4477","https://media.transistor.fm/3ef67e14/33edf29e.mp3",""
"Administración pública y ecosistema digital, con Sergio Jiménez","
        <p>Sergio Jiménez lleva muchos años siendo referente en la medición digital y en la transformación digital de organismos públicos. Pocas personas saben más que él acerca de cómo medir y enfocar un proyecto digital para una administración.</p><p>Las webs y apps de las administraciones son en general complejas y de difícil manejo por múltiples circunstancias: cómo son diseñadas, por quién, en base a qué, la medición que hay después, y mil cosas más.</p><p>En esta charla apasionante intentamos desentrañar cuales son los grandes males de la administración pública digital, hacia donde vamos, qué camino queda, cual es el objetivo y cómo las administraciones deberían enfocar sus servicios digitales para que en el futuro cercano el ciudadano de a pie pueda resolver grandes cantidades de dudas y transacciones a través de esos activos digitales.</p><p>Ese es el reto de las administraciones públicas en lo relacionado al ecosistema digital, ¿lo conseguirán?</p>
      ","Wed, 02 Feb 2022 00:00:00 +0100","4432","https://media.transistor.fm/c1db10cd/9fb36596.mp3",""
"Behavioral design, aplicando la ciencia del comportamiento al diseño, con Dani Solana","
        En este episodio hablamos sobre como aplicar la ciencia del comportamiento (sesgos cognitivos, heurísticos, etc) al diseño de productos y servicios digitales.
      ","Wed, 12 Jan 2022 00:00:00 +0100","3956","https://media.transistor.fm/a2feb95d/cd1cb3d0.mp3",""
"Encuestas online para conocer a tus clientes, con María Pedrosa","
        Dentro de las técnicas cualitativas, que nos permiten conocer motivaciones de clientes y usuarios, las encuestas online tienen un gran peso. Hablamos con María Pedrosa sobre cómo plantearlas, para qué y cómo analizarlas y emplearlas.
      ","Wed, 05 Jan 2022 00:00:00 +0100","2871","https://media.transistor.fm/d3f99b5e/56a02511.mp3",""
